Kappa,Melting time
9.999999999999999e-06,0.004090818195288579
1.2354828882567481e-05,0.004098031210079599
1.5264179671752335e-05,0.0041069442069663455
1.8858632787726516e-05,0.004117950290105518
2.3299518105153718e-05,0.004131544539257225
2.8786155923545714e-05,0.004148331511169704
3.5564803062231284e-05,0.004169057610184211
4.3939705607607954e-05,0.004194648084140849
5.4286754393238594e-05,0.004226238773371214
6.707035611184313e-05,0.004265229042803093
8.286427728546842e-05,0.004313341337524698
0.00010237739663395859,0.004372695010606262
0.00012648552168552957,0.004445894141253461
0.00015627069765469963,0.004536138534649667
0.00019306977288832496,0.004647354977639172
0.00023853440064314216,0.004784361994343058
0.00029470517025518097,0.0049530722397314415
0.0003641031949310677,0.005160744533877128
0.0004498432668969444,0.0054163082628295445
0.0005557736586486881,0.005730781997345586
0.0006866488450042998,0.006117820224525307
0.0008483428982440725,0.00659443716464387
0.0010481131341546863,0.007181923150450636
0.0012949258422052632,0.007906983034242256
0.001599858719606059,0.008803061406104042
0.0019765980717016346,0.009911746052070628
0.0024420530945486523,0.011284211026009672
0.003017114810529295,0.012982736760254023
0.0037275937203149418,0.015082461997279
0.0046053782558224165,0.017674025569100964
0.005689866029018299,0.020867254007386527
0.007029732115325475,0.024796356275157475
0.008685113737513529,0.02962592756985738
0.010730309405261564,0.03555915406810258
0.013257113655901095,0.04284671191374592
0.016378937069540644,0.05179829925987339
0.020235896477251575,0.06279636626502387
0.025001103826179306,0.0763133694784725
0.030888435964774818,0.09293236491355711
0.038162134079493565,0.11337442450555886
0.04714866363457395,0.138530005004518
0.058251367124689264,0.16949752686854855
0.07196856730011521,0.20763014870553767
0.08891593339164641,0.25459627310623467
0.10985411419875594,0.31245520548014827
0.13572287829716537,0.3837507155381313
0.167683293681101,0.471626780240238
0.20716983998953076,0.5799688463282214
0.2559547922699538,0.7135779645872579
0.31622776601683794,0.8783936448700452
